school,id,conference,division,level,rating,rd,volatility
Texas,251,Big 12,,fbs,1500,600.0,0.06
Texas A&M,245,SEC,West,fbs,1500,600.0,0.06
Texas State,326,Sun Belt,West,fbs,1500,600.0,0.06
Texas Tech,2641,Big 12,,fbs,1500,600.0,0.06
Toledo,2649,Mid-American,West,fbs,1500,600.0,0.06
Troy,2653,Sun Belt,West,fbs,1500,600.0,0.06
Tulane,2655,American Athletic,,fbs,1500,600.0,0.06
Tulsa,202,American Athletic,,fbs,1500,600.0,0.06
UAB,5,American Athletic,,fbs,1500,600.0,0.06
UCF,2116,Big 12,,fbs,1500,600.0,0.06
UCLA,26,Pac-12,,fbs,1500,600.0,0.06
UMass,113,FBS Independents,,fbs,1500,600.0,0.06
UNLV,2439,Mountain West,West,fbs,1500,600.0,0.06
USC,30,Pac-12,,fbs,1500,600.0,0.06
Utah,254,Pac-12,,fbs,1500,600.0,0.06
Utah State,328,Mountain West,Mountain,fbs,1500,600.0,0.06
UTEP,2638,Conference USA,,fbs,1500,600.0,0.06
UT San Antonio,2636,American Athletic,,fbs,1500,600.0,0.06
Vanderbilt,238,SEC,East,fbs,1500,600.0,0.06
Virginia,258,ACC,Coastal,fbs,1500,600.0,0.06
Virginia Tech,259,ACC,Coastal,fbs,1500,600.0,0.06
Wake Forest,154,ACC,Atlantic,fbs,1500,600.0,0.06
Washington,264,Pac-12,,fbs,1500,600.0,0.06
Washington State,265,Pac-12,,fbs,1500,600.0,0.06
Western Kentucky,98,Conference USA,,fbs,1500,600.0,0.06
Western Michigan,2711,Mid-American,West,fbs,1500,600.0,0.06
West Virginia,277,Big 12,,fbs,1500,600.0,0.06
Wisconsin,275,Big Ten,West,fbs,1500,600.0,0.06
Wyoming,2751,Mountain West,Mountain,fbs,1500,600.0,0.06
