school,id,conference,division,level,rating,rd,volatility,wins,losses
North Carolina,153,ACC,,fbs,1966.95,73.9359,0.0599368,2,1
North Dakota State,2449,Mountain West,,fbs,2337.13,136.155,0.059956,4,0
Northern Illinois,2459,Mountain West,,fbs,1125.37,144.822,0.0598796,0,3
North Texas,249,American Athletic,,fbs,1812.95,73.5008,0.0599199,1,2
Northwestern,77,Big Ten,,fbs,2531.63,86.8309,0.0597137,2,0
Notre Dame,87,FBS Independents,,fbs,2806.86,111.165,0.059805,3,0
Ohio,195,Mid-American,,fbs,1695.66,69.8915,0.0603432,1,2
Ohio State,194,Big Ten,,fbs,2313.02,114.813,0.0598842,2,1
Oklahoma,201,SEC,,fbs,2165.7,71.5365,0.0598922,2,1
Oklahoma State,197,Big 12,,fbs,2180.6,71.3912,0.0601124,2,1
Old Dominion,295,Sun Belt,East,fbs,1401.07,88.7199,0.0600714,1,2
Ole Miss,145,SEC,,fbs,3110.2,101.694,0.0599175,3,0
Oregon,2483,Big Ten,,fbs,2061.2,67.9447,0.0601669,2,1
Oregon State,204,Pac-12,,fbs,1913.83,84.5963,0.0603549,1,2
Penn State,213,Big Ten,,fbs,2488.4,104.101,0.059844,3,0
Pittsburgh,221,ACC,,fbs,2513.75,106.423,0.0598796,3,0
Purdue,2509,Big Ten,,fbs,1570.62,100.495,0.0597887,1,2
Rice,242,American Athletic,,fbs,1806.68,108.47,0.0598229,1,2
Rutgers,164,Big Ten,,fbs,987.549,112.104,0.0602208,0,3
Sacramento State,16,Mid-American,,fbs,887.839,99.9831,0.0596319,1,3
Sam Houston,2534,Conference USA,,fbs,1641.07,76.9185,0.0601098,1,2
San Diego State,21,Pac-12,,fbs,1627.53,123.104,0.0599034,1,2
San José State,23,Mountain West,,fbs,1746.73,83.3185,0.0601641,2,2
SMU,2567,ACC,,fbs,2196.38,77.8157,0.0603215,2,1
South Alabama,6,Sun Belt,West,fbs,1904.74,71.5903,0.0598951,2,1
South Carolina,2579,SEC,,fbs,1946.76,98.3209,0.0598393,2,1
Southern Miss,2572,Sun Belt,West,fbs,1276.38,85.2837,0.0598569,1,2
South Florida,58,American Athletic,,fbs,2440.3,111.311,0.0600168,3,0
Stanford,24,ACC,,fbs,1994.3,108.463,0.0599283,1,2
Syracuse,183,ACC,,fbs,1440.37,93.9606,0.0600797,1,2
TCU,2628,Big 12,,fbs,1693.93,78.7934,0.0601688,2,1
Temple,218,American Athletic,,fbs,1519.64,78.1265,0.0597925,1,2
Tennessee,2633,SEC,,fbs,2448.17,132.775,0.0597047,3,0
Texas,251,SEC,,fbs,3006.13,108.5,0.0600177,3,0
Texas A&M,245,SEC,,fbs,2267.88,76.7049,0.0599265,2,1
Texas State,326,Pac-12,,fbs,2067.03,75.7845,0.0602625,1,2
Texas Tech,2641,Big 12,,fbs,2927.74,120.328,0.060106,3,0
Toledo,2649,Mid-American,,fbs,1851.8,80.9115,0.0598591,2,1
Troy,2653,Sun Belt,West,fbs,2027.87,82.1291,0.0596911,2,1
Tulane,2655,American Athletic,,fbs,2150.37,77.7409,0.0599722,1,2
Tulsa,202,American Athletic,,fbs,2452.03,87.1154,0.0599889,3,0
UAB,5,American Athletic,,fbs,1379.16,106.547,0.0598857,1,2
UCF,2116,Big 12,,fbs,2020.14,86.112,0.0597784,2,1
UCLA,26,Big Ten,,fbs,2463.97,105.258,0.059823,3,0
UConn,41,FBS Independents,,fbs,1654.18,79.1539,0.060119,2,1
UL Monroe,2433,Sun Belt,West,fbs,654.91,101.474,0.0599359,0,3
UNLV,2439,Mountain West,,fbs,1553.22,66.5436,0.0596822,1,2
USC,30,Big Ten,,fbs,2708.12,115.337,0.0598623,4,0
Utah,254,Big 12,,fbs,2576.34,154.429,0.0597828,3,0
Utah State,328,Pac-12,,fbs,1297.68,125.93,0.0598068,0,3
UTEP,2638,Mountain West,,fbs,1465.03,105.809,0.0597913,1,2
UTSA,2636,American Athletic,,fbs,2405.64,88.9852,0.0602224,2,1
Vanderbilt,238,SEC,,fbs,2684.04,116.122,0.0597553,3,0
Virginia,258,ACC,,fbs,2179.88,85.0223,0.0600147,2,1
Virginia Tech,259,ACC,,fbs,2433.83,101.12,0.0599386,3,0
Wake Forest,154,ACC,,fbs,2190.03,107.203,0.0599745,2,1
Washington,264,Big Ten,,fbs,2399.32,132.037,0.0599516,3,0
Washington State,265,Pac-12,,fbs,1631.81,123.141,0.0599251,1,2
Western Kentucky,98,Conference USA,,fbs,953.371,97.9231,0.0599482,0,3
Western Michigan,2711,Mid-American,,fbs,2777.77,95.237,0.0600822,3,0
West Virginia,277,Big 12,,fbs,2639.61,103.003,0.0604812,3,0
Wisconsin,275,Big Ten,,fbs,2026.68,118.689,0.0602364,2,1
Wyoming,2751,Mountain West,,fbs,1318.05,81.5971,0.0597877,1,2
